place1,place2,relation
Prescot,Rainford,borders
Prescot,Eccleston St Helens,borders
Prescot,Stockbridge,borders
Prescot,St. Michaels,borders
Prescot,Yew Tree,borders
Prescot,Croxteth,borders
Prescot,Prescot South,borders
Prescot,Cherryfield,borders
Prescot,Northwood,borders
Prescot,Whiston & Cronton,borders
Lamesley,Chowdene,borders
Lamesley,Washington West,borders
Lamesley,Birtley,borders
Lamesley,Washington South,borders
Lamesley,High Fell,borders
Lamesley,Low Fell,borders
Lamesley,Lobley Hill and Bensham,borders
Lamesley,Whickham South and Sunniside,borders
Todmorden,Littleborough Lakeside,borders
Todmorden,Wardle and West Littleborough,borders
Todmorden,Calder,borders
Astley Village,Smithills,borders
Astley Village,Bromley Cross,borders
Astley Village,Crompton,borders
Finstall,Oldbury,borders
Finstall,Langley,borders
Finstall,Smethwick,borders
Finstall,Old Warley,borders
Finstall,St. Pauls,borders
Finstall,Abbey,borders
Normanton West Yorkshire,Featherstone,borders
Normanton West Yorkshire,Crofton Ryhill and Walton,borders
Normanton West Yorkshire,Altofts and Whitwood,borders
Normanton West Yorkshire,Wakefield South,borders
Normanton West Yorkshire,Wakefield East,borders
Normanton West Yorkshire,Stanley and Outwood East,borders
Wickersley,Valley,borders
Wickersley,Hellaby,borders
Wickersley,Silverwood,borders
Bickenhill,Meriden West Midlands,borders
Bickenhill,Chelmsley Wood,borders
Bickenhill,Silhill,borders
Bickenhill,Kingshurst and Fordbridge,borders
Bickenhill,Shard End,borders
Bickenhill,Knowle,borders
Bickenhill,Elmdon,borders
Bickenhill,Sheldon,borders
Sutton Weaver (civil parish),Bold St Helens,borders
Sutton Weaver (civil parish),Town Centre,borders
Sutton Weaver (civil parish),Thatto Heath,borders
Sutton Weaver (civil parish),Parr,borders
Hetton-le-Hole,Houghton,borders
Hetton-le-Hole,Copt Hill,borders
Picton Cheshire,Central,borders
Picton Cheshire,Princes Park,borders
Picton Cheshire,Old Swan,borders
Picton Cheshire,Greenbank,borders
Picton Cheshire,Wavertree,borders
Picton Cheshire,Kensington and Fairfield,borders
Castle Eden,Southwick,borders
Castle Eden,Boldon Colliery,borders
Castle Eden,St. Anne's,borders
Castle Eden,Redhill,borders
Castle Eden,Pallion,borders
Castle Eden,Fellgate and Hedworth,borders
Castle Eden,Washington North,borders
Castle Eden,Washington East,borders
Kirkburton,Holme Valley,borders
Kirkburton,Mirfield,borders
Kirkburton,Denby Dale,borders
Kirkburton,Almondbury,borders
Kirkburton,Dalton,borders
Kirkburton,Holme Valley North,borders
Kirkburton,Newsome,borders
Kirkburton,Wakefield Rural,borders
Kirkburton,Dewsbury South,borders
Smith's Wood,Castle Bromwich,borders
Smith's Wood,Chelmsley Wood,borders
Smith's Wood,Kingshurst and Fordbridge,borders
Smith's Wood,Shard End,borders
Smith's Wood,Sutton New Hall,borders
Baildon,Windhill and Wrose,borders
Baildon,Guiseley and Rawdon,borders
Baildon,Idle and Thackley,borders
Baildon,Shipley,borders
Baildon,Bingley,borders
Rossington,Finningley,borders
Rossington,Tickhill & Wadsworth,borders
Sprotbrough and Cusworth,Conisbrough Parks,borders
Sprotbrough and Cusworth,Mexborough,borders
Sprotbrough and Cusworth,Ackworth North Elmsall and Upton,borders
Sprotbrough and Cusworth,Town,borders
Sprotbrough and Cusworth,Bentley,borders
Sprotbrough and Cusworth,South Elmsall and South Kirkby,borders
Sprotbrough and Cusworth,Wath,borders
Sprotbrough and Cusworth,Dearne North,borders
Sprotbrough and Cusworth,North East,borders
Sprotbrough and Cusworth,Adwick le Street & Carcroft,borders
Sprotbrough and Cusworth,Dearne South,borders
Sprotbrough and Cusworth,Roman Ridge,borders
Sprotbrough and Cusworth,Hexthorpe & Balby North,borders
Sprotbrough and Cusworth,Norton & Askern,borders
Sprotbrough and Cusworth,Edlington & Warmsworth,borders
Blackrod,Haydock,borders
Blackrod,Town Centre,borders
Blackrod,Moss Bank,borders
Blackrod,Parr,borders
Castle Bromwich,Smith's Wood,borders
Castle Bromwich,Shard End,borders
Castle Bromwich,Sutton New Hall,borders
Castle Bromwich,Tyburn,borders
Castle Bromwich,Hodge Hill,borders
Rainhill,Eccleston St Helens,borders
Rainhill,Bold St Helens,borders
Rainhill,Thatto Heath,borders
Rainhill,Prescot South,borders
Rainhill,Whiston & Cronton,borders
Keighley,Craven,borders
Keighley,Keighley West,borders
Keighley,Keighley East,borders
Conisbrough Parks,Sprotbrough and Cusworth,borders
Conisbrough Parks,Mexborough,borders
Conisbrough Parks,Tickhill & Wadsworth,borders
Conisbrough Parks,Swinton,borders
Conisbrough Parks,Silverwood,borders
Conisbrough Parks,Edlington & Warmsworth,borders
Shevington,Molyneux,borders
Shevington,Whitefield,borders
Shevington,Northwood,borders
Edenthorpe,Armthorpe,borders
Edenthorpe,Bentley,borders
Edenthorpe,Hatfield,borders
Edenthorpe,Stainforth & Barnby Dun,borders
Edenthorpe,Wheatley Hills & Intake,borders
Doxey,St. Peter's,borders
Doxey,Bushbury South and Low Hill,borders
Doxey,Tettenhall Regis,borders
Doxey,Bushbury North,borders
Penistone,Holme Valley,borders
Penistone,Denby Dale,borders
Penistone,Stocksbridge & Upper Don,borders
Penistone,Penistone East,borders
Bryn,Haydock,borders
Bryn,Billinge and Seneley Green,borders
Bryn,Abram,borders
Bryn,Worsley Mesnes,borders
Bryn,Ashton,borders
Bryn,Winstanley,borders
Bryn,Orrell,borders
Ilkley,Craven,borders
Ilkley,Keighley East,borders
Ilkley,Bingley,borders
Ilkley,Wharfedale,borders
Featherstone,Normanton West Yorkshire,borders
Featherstone,Crofton Ryhill and Walton,borders
Featherstone,Pontefract South,borders
Featherstone,Ackworth North Elmsall and Upton,borders
Featherstone,Altofts and Whitwood,borders
Featherstone,Castleford Central and Glasshoughton,borders
Featherstone,Pontefract North,borders
Rainford,Prescot,borders
Rainford,Eccleston St Helens,borders
Rainford,Windle St Helens,borders
Rainford,Billinge and Seneley Green,borders
Rainford,Moss Bank,borders
Rainford,Northwood,borders
Rainford,Orrell,borders
Wetherby,Harewood,borders
Halewood,Speke-Garston,borders
Halewood,Allerton and Hunts Cross,borders
Halewood,Halewood North,borders
Holme Valley,Kirkburton,borders
Holme Valley,Penistone,borders
Holme Valley,Saddleworth,borders
Holme Valley,Denby Dale,borders
Holme Valley,Holme Valley North,borders
Holme Valley,Colne Valley,borders
Holme Valley,Saddleworth North,borders
Horwich,Smithills,borders
Horwich,Heaton and Lostock,borders
Horwich,Horwich and Blackrod,borders
Mirfield,Kirkburton,borders
Mirfield,Dalton,borders
Mirfield,Dewsbury West,borders
Mirfield,Liversedge and Gomersal,borders
Mirfield,Heckmondwike,borders
Mirfield,Dewsbury South,borders
Maltby South Yorkshire,Dinnington St. John's,borders
Maltby South Yorkshire,Hellaby,borders
Maltby South Yorkshire,Tickhill & Wadsworth,borders
Sherbourne Warwickshire,Earlsdon,borders
Sherbourne Warwickshire,St. Michael's,borders
Sherbourne Warwickshire,Bablake,borders
Sherbourne Warwickshire,Radford,borders
Sherbourne Warwickshire,Whoberley,borders
Orgreave South Yorkshire,Southey,borders
Orgreave South Yorkshire,City,borders
Orgreave South Yorkshire,Darnall,borders
Orgreave South Yorkshire,Firth Park,borders
Orgreave South Yorkshire,Shiregreen & Brightside,borders
Orgreave South Yorkshire,Hillsborough,borders
Withington,Didsbury West,borders
Withington,Fallowfield,borders
Withington,Burnage,borders
Withington,Didsbury East,borders
Withington,Levenshulme,borders
Withington,Old Moat,borders
Finningley,Rossington,borders
Finningley,Armthorpe,borders
Finningley,Bessacarr,borders
Finningley,Hatfield,borders
Finningley,Tickhill & Wadsworth,borders
Finningley,Wheatley Hills & Intake,borders
Offerton Park,Marple North,borders
Offerton Park,Hazel Grove,borders
Offerton Park,Stepping Hill,borders
Offerton Park,Marple South,borders
Offerton Park,Manor,borders
Offerton Park,Bredbury Green and Romiley,borders
Meriden West Midlands,Bickenhill,borders
Meriden West Midlands,Westwood,borders
Meriden West Midlands,Knowle,borders
Meriden West Midlands,Woodlands,borders
Meriden West Midlands,Bablake,borders
Mossley,Saddleworth,borders
Mossley,Saddleworth West and Lees,borders
Mossley,Ashton Hurst,borders
Mossley,Stalybridge South,borders
Mossley,Stalybridge North,borders
Saddleworth,Holme Valley,borders
Saddleworth,Mossley,borders
Saddleworth,Saddleworth West and Lees,borders
Saddleworth,Stalybridge South,borders
Saddleworth,Saddleworth North,borders
Horsforth,Weetwood,borders
Horsforth,Otley and Yeadon,borders
Horsforth,Guiseley and Rawdon,borders
Horsforth,Calverley and Farsley,borders
Horsforth,Adel and Wharfedale,borders
Horsforth,Idle and Thackley,borders
Horsforth,Bramley and Stanningley,borders
Horsforth,Kirkstall,borders
Eccleston St Helens,Prescot,borders
Eccleston St Helens,Rainhill,borders
Eccleston St Helens,Rainford,borders
Eccleston St Helens,Windle St Helens,borders
Eccleston St Helens,West Park,borders
Eccleston St Helens,Thatto Heath,borders
Eccleston St Helens,Prescot South,borders
Hemsworth,Crofton Ryhill and Walton,borders
Hemsworth,Ackworth North Elmsall and Upton,borders
Hemsworth,South Elmsall and South Kirkby,borders
Hemsworth,North East,borders
Hemsworth,Royston,borders
Wales South Yorkshire,Anston and Woodsetts,borders
Wales South Yorkshire,Holderness,borders
Wales South Yorkshire,Beighton,borders
Wales South Yorkshire,Mosborough,borders
Wales South Yorkshire,Rother Vale,borders
Blakelaw and North Fenham,Woolsington,borders
Blakelaw and North Fenham,Fenham,borders
Blakelaw and North Fenham,Kenton,borders
Blakelaw and North Fenham,Denton,borders
Blakelaw and North Fenham,Wingrove,borders
Windle St Helens,Rainford,borders
Windle St Helens,Eccleston St Helens,borders
Windle St Helens,West Park,borders
Windle St Helens,Town Centre,borders
Windle St Helens,Moss Bank,borders
Chelmsley Wood,Bickenhill,borders
Chelmsley Wood,Smith's Wood,borders
Chelmsley Wood,Kingshurst and Fordbridge,borders
Alwoodley,Harewood,borders
Alwoodley,Moortown,borders
Alwoodley,Roundhay,borders
Alwoodley,Adel and Wharfedale,borders
Woolsington,Blakelaw and North Fenham,borders
Woolsington,Kenton,borders
Woolsington,Denton,borders
Woolsington,Westerhope,borders
Woolsington,Castle,borders
Woolsington,Newburn,borders
Morley West Yorkshire,Farnley and Wortley,borders
Morley West Yorkshire,Beeston and Holbeck,borders
Morley West Yorkshire,Tong,borders
Morley West Yorkshire,Morley South,borders
Morley West Yorkshire,Middleton Park,borders
Morley West Yorkshire,Birstall and Birkenshaw,borders
Armthorpe,Edenthorpe,borders
Armthorpe,Finningley,borders
Armthorpe,Hatfield,borders
Armthorpe,Wheatley Hills & Intake,borders
Dinnington St. John's,Maltby South Yorkshire,borders
Dinnington St. John's,Anston and Woodsetts,borders
Dinnington St. John's,Hellaby,borders
Dinnington St. John's,Rother Vale,borders
Bold St Helens,Sutton Weaver (civil parish),borders
Bold St Helens,Rainhill,borders
Bold St Helens,Thatto Heath,borders
Bold St Helens,Parr,borders
Kippax West Yorkshire,Harewood,borders
Kippax West Yorkshire,Altofts and Whitwood,borders
Kippax West Yorkshire,Rothwell,borders
Kippax West Yorkshire,Airedale and Ferry Fryston,borders
Kippax West Yorkshire,Castleford Central and Glasshoughton,borders
Kippax West Yorkshire,Stanley and Outwood East,borders
Kippax West Yorkshire,Garforth and Swillington,borders
Denby Dale,Kirkburton,borders
Denby Dale,Penistone,borders
Denby Dale,Holme Valley,borders
Denby Dale,Wakefield Rural,borders
Denby Dale,Penistone East,borders
Harewood,Wetherby,borders
Harewood,Alwoodley,borders
Harewood,Kippax West Yorkshire,borders
Harewood,Cross Gates and Whinmoor,borders
Harewood,Temple Newsam,borders
Harewood,Roundhay,borders
Harewood,Adel and Wharfedale,borders
Harewood,Garforth and Swillington,borders
Westhoughton,Westhoughton North and Chew Moor,borders
Westhoughton,Atherleigh,borders
Westhoughton,Hindley,borders
Westhoughton,Hindley Green,borders
Westhoughton,Atherton,borders
Bingley Rural,Heaton,borders
Bingley Rural,Thornton and Allerton,borders
Bingley Rural,Illingworth and Mixenden,borders
Bingley Rural,Keighley East,borders
Bingley Rural,Shipley,borders
Bingley Rural,Bingley,borders
Bingley Rural,Worth Valley,borders
Wyke,Wibsey,borders
Wyke,Tong,borders
Wyke,Cleckheaton,borders
Wyke,Royds,borders
Wyke,Hipperholme and Lightcliffe,borders
Halesowen North,Langley,borders
Halesowen North,Belle Vale,borders
Halesowen North,Old Warley,borders
Halesowen North,Blackheath,borders
Halesowen North,Quinton,borders
Halesowen North,Halesowen South,borders
Prenton,Oxton,borders
Prenton,Rock Ferry,borders
Prenton,Upton,borders
Prenton,Clatterbridge,borders
Prenton,Bebington,borders
Prenton,Pensby and Thingwall,borders
Prenton,Birkenhead and Tranmere,borders
Stocksbridge & Upper Don,Penistone,borders
Stocksbridge & Upper Don,Southey,borders
Stocksbridge & Upper Don,Stannington,borders
Stocksbridge & Upper Don,Penistone East,borders
Stocksbridge & Upper Don,Hillsborough,borders
Stocksbridge & Upper Don,West Ecclesfield,borders
Rusholme,Moss Side,borders
Rusholme,Fallowfield,borders
Rusholme,Ardwick,borders
Rusholme,Longsight,borders
Rusholme,Levenshulme,borders
Medlock Vale,Ashton Waterloo,borders
Medlock Vale,Hollinwood,borders
Medlock Vale,Alexandra,borders
Medlock Vale,Failsworth East,borders
Medlock Vale,Werneth,borders
Paddock,St. Matthew's,borders
Paddock,Great Barr with Yew Tree,borders
Paddock,Palfrey,borders
Paddock,Pheasey Park Farm,borders
Ardsley and Robin Hood,Rothwell,borders
Ardsley and Robin Hood,Ossett,borders
Ardsley and Robin Hood,Morley South,borders
Ardsley and Robin Hood,Middleton Park,borders
Ardsley and Robin Hood,Stanley and Outwood East,borders
Ardsley and Robin Hood,Wrenthorpe and Outwood West,borders
Ardsley and Robin Hood,Batley East,borders
Longford,Priory,borders
Longford,Chorlton,borders
Longford,Clifford,borders
Longford,Gorse Hill,borders
Longford,Stretford,borders
Little Lever and Darcy Lever,Radcliffe West,borders
Little Lever and Darcy Lever,Breightmet,borders
Little Lever and Darcy Lever,Farnworth,borders
Little Lever and Darcy Lever,Kearsley,borders
Little Lever and Darcy Lever,Radcliffe North,borders
Little Lever and Darcy Lever,Great Lever,borders
Little Lever and Darcy Lever,Tonge with the Haulgh,borders
Heaton,Bingley Rural,borders
Heaton,Bolton and Undercliffe,borders
Heaton,Toller,borders
Heaton,Thornton and Allerton,borders
Heaton,Windhill and Wrose,borders
Heaton,Manningham,borders
Heaton,Shipley,borders
Nether Edge & Sharrow,City,borders
Nether Edge & Sharrow,Gleadless Valley,borders
Nether Edge & Sharrow,Broomhill & Sharrow Vale,borders
Nether Edge & Sharrow,Graves Park,borders
Nether Edge & Sharrow,Ecclesall,borders
Blythe,St. Alphege,borders
Blythe,Shirley West,borders
Blythe,Shirley South,borders
Blythe,Dorridge and Hockley Heath,borders
Coseley East,Bilston East,borders
Coseley East,Upper Gornal and Woodsetton,borders
Coseley East,Princes End,borders
Coseley East,Sedgley,borders
Coseley East,Castle and Priory,borders
Coseley East,Spring Vale,borders
Coseley East,Tipton Green,borders
Almondbury,Kirkburton,borders
Almondbury,Dalton,borders
Almondbury,Newsome,borders
Fenham,Blakelaw and North Fenham,borders
Fenham,Lemington,borders
Fenham,Denton,borders
Fenham,Wingrove,borders
Fenham,Elswick,borders
Fenham,Benwell and Scotswood,borders
Stockbridge,Prescot,borders
Stockbridge,St. Michaels,borders
Stockbridge,Yew Tree,borders
Stockbridge,Page Moss,borders
Moorside,Elton,borders
Moorside,East,borders
Moorside,North Manor,borders
Moorside,Church,borders
Moorside,Norden,borders
Newton,Perry Barr,borders
Newton,Great Barr with Yew Tree,borders
Newton,Charlemont with Grove Vale,borders
Newton,Handsworth Wood,borders
Newton,West Bromwich Central,borders
Sandhill,St. Chad's,borders
Sandhill,Silksworth,borders
Sandhill,St. Anne's,borders
Sandhill,Barnes,borders
Sandhill,Shiney Row,borders
Brownhills,Aldridge North and Walsall Wood,borders
Brownhills,Pelsall,borders
Friar Park,Pleck,borders
Friar Park,Great Barr with Yew Tree,borders
Friar Park,Charlemont with Grove Vale,borders
Friar Park,Wednesbury South,borders
Friar Park,Hateley Heath,borders
Friar Park,Palfrey,borders
Friar Park,Wednesbury North,borders
Oldbury,Finstall,borders
Oldbury,Langley,borders
Oldbury,Greets Green and Lyng,borders
Oldbury,Tividale,borders
Oldbury,Castle and Priory,borders
Oldbury,Tipton Green,borders
Oldbury,St. Pauls,borders
Oldbury,St. Thomas's,borders
Oldbury,Great Bridge,borders
Heald Green,Cheadle Hulme South,borders
Heald Green,Cheadle and Gatley,borders
Heald Green,Woodhouse Park,borders
Heald Green,Sharston,borders
Wainbody,Cheylesmore,borders
Wainbody,Earlsdon,borders
Wainbody,Westwood,borders
Chowdene,Lamesley,borders
Chowdene,High Fell,borders
Chowdene,Low Fell,borders
Cheadle Hulme South,Heald Green,borders
Cheadle Hulme South,Bramhall North,borders
Cheadle Hulme South,Bramhall South and Woodford,borders
Cheadle Hulme South,Cheadle and Gatley,borders
Cheadle Hulme South,Cheadle Hulme North,borders
Ince,Aspull New Springs Whelley,borders
Ince,Abram,borders
Ince,Douglas,borders
Ince,Hindley,borders
Ince,Wigan Central,borders
Ince,Worsley Mesnes,borders
Bede,Boldon Colliery,borders
Bede,Riverside,borders
Bede,Simonside and Rekendyke,borders
Bede,Fellgate and Hedworth,borders
Bede,Biddick and All Saints,borders
Bede,Primrose,borders
Milkstone and Deeplish,Castleton,borders
Milkstone and Deeplish,Central Rochdale,borders
Milkstone and Deeplish,Bamford,borders
Milkstone and Deeplish,Kingsway,borders
Milkstone and Deeplish,Spotland and Falinge,borders
Milkstone and Deeplish,Balderstone and Kirkholt,borders
Walkden South,Boothstown and Ellenbrook,borders
Walkden South,Walkden North,borders
Walkden South,Worsley,borders
Walkden South,Little Hulton,borders
Walkden South,Swinton North,borders
Walkden South,Astley Mosley Common,borders
Bradford Moor,Bowling and Barkerend,borders
Bradford Moor,Pudsey,borders
Bradford Moor,Eccleshill,borders
Bradford Moor,Calverley and Farsley,borders
Ryburn,Greetland and Stainland,borders
Ryburn,Littleborough Lakeside,borders
Ryburn,Colne Valley,borders
Ryburn,Saddleworth North,borders
Ryburn,Milnrow and Newhey,borders
Ryburn,Sowerby Bridge,borders
Ryburn,Luddendenfoot,borders
Ryburn,Calder,borders
Ramsbottom,North Manor,borders
Hall Green,Acocks Green,borders
Hall Green,Olton,borders
Hall Green,Shirley West,borders
Hall Green,Shirley East,borders
Hall Green,Billesley,borders
Hall Green,Springfield,borders
Aspull New Springs Whelley,Ince,borders
Aspull New Springs Whelley,Westhoughton North and Chew Moor,borders
Aspull New Springs Whelley,Horwich and Blackrod,borders
Aspull New Springs Whelley,Standish with Langtree,borders
Aspull New Springs Whelley,Hindley,borders
Aspull New Springs Whelley,Wigan Central,borders
Town,Park,borders
Town,Greetland and Stainland,borders
Town,Brighouse,borders
Town,Skircoat,borders
Town,Elland,borders
Town,Ovenden,borders
Town,Northowram and Shelf,borders
Town,Hipperholme and Lightcliffe,borders
Ashton Waterloo,Medlock Vale,borders
Ashton Waterloo,St. Peter's,borders
Ashton Waterloo,Alexandra,borders
Ashton Waterloo,Ashton Hurst,borders
Ashton Waterloo,Droylsden East,borders
Ashton Waterloo,Failsworth East,borders
Radcliffe East,Pilkington Park,borders
Radcliffe East,Radcliffe West,borders
Radcliffe East,Radcliffe North,borders
Radcliffe East,Redvales,borders
Radcliffe East,Church,borders
Bridges,Westgate,borders
Bridges,Saltwell,borders
Bridges,Lobley Hill and Bensham,borders
Bridges,Byker,borders
Bridges,Dunston and Teams,borders
Bridges,Ouseburn,borders
Bridges,Deckham,borders
Bridges,Felling,borders
Southey,Orgreave South Yorkshire,borders
Southey,Stocksbridge & Upper Don,borders
Southey,East Ecclesfield,borders
Southey,Firth Park,borders
Southey,Stannington,borders
Southey,Hillsborough,borders
Southey,West Ecclesfield,borders
Wallsend,Hebburn North,borders
Wallsend,Northumberland,borders
Wallsend,Walkergate,borders
Wallsend,Riverside,borders
Wallsend,Primrose,borders
Wallsend,Battle Hill,borders
Wallsend,Howdon,borders
City Centre,Ordsall,borders
City Centre,Ardwick,borders
City Centre,Cheetham,borders
City Centre,Ancoats and Clayton,borders
City Centre,Bradford,borders
City Centre,Hulme,borders
Brierley Hill,Brockmoor and Pensnett,borders
Brierley Hill,Wollaston and Stourbridge Town,borders
Brierley Hill,Amblecote,borders
Brierley Hill,Wordsley,borders
Brierley Hill,Netherton Woodside and St. Andrews,borders
Brierley Hill,Quarry Bank and Dudley Wood,borders
Seacombe,Kirkdale,borders
Seacombe,Central,borders
Seacombe,Bidston and St. James,borders
Seacombe,Liscard,borders
Seacombe,Birkenhead and Tranmere,borders
St. Michaels,Prescot,borders
St. Michaels,Stockbridge,borders
St. Michaels,St. Gabriels,borders
St. Michaels,Roby,borders
St. Michaels,Prescot South,borders
St. Michaels,Whiston & Cronton,borders
St. Michaels,Page Moss,borders
Harborne,Selly Oak,borders
Harborne,Soho and Victoria,borders
Harborne,Bartley Green,borders
Harborne,Soho,borders
Harborne,Abbey,borders
Harborne,Edgbaston,borders
Harborne,Quinton,borders
Clubmoor,Norris Green,borders
Clubmoor,County,borders
Clubmoor,West Derby,borders
Clubmoor,Anfield,borders
Clubmoor,Tuebrook and Stoneycroft,borders
Clubmoor,Warbreck,borders
Westhoughton North and Chew Moor,Westhoughton,borders
Westhoughton North and Chew Moor,Aspull New Springs Whelley,borders
Westhoughton North and Chew Moor,Hulton,borders
Westhoughton North and Chew Moor,Heaton and Lostock,borders
Westhoughton North and Chew Moor,Horwich and Blackrod,borders
Westhoughton North and Chew Moor,Hindley,borders
Westhoughton North and Chew Moor,Atherton,borders
Hale Central,Hale Barns,borders
Hale Central,Bowdon,borders
Hale Central,Altrincham,borders
Hoylake and Meols,Moreton West and Saughall Massie,borders
Hoylake and Meols,Greasby Frankby and Irby,borders
Hoylake and Meols,West Kirby and Thurstaston,borders
Selly Oak,Harborne,borders
Selly Oak,Moseley and Kings Heath,borders
Selly Oak,Weoley,borders
Selly Oak,Bartley Green,borders
Selly Oak,Edgbaston,borders
Selly Oak,Bournville,borders
Broadheath,St. Mary's,borders
Broadheath,Timperley,borders
Broadheath,Bowdon,borders
Broadheath,Altrincham,borders
Broadheath,Brooklands,borders
Broadheath,Bucklow-St. Martins,borders
Hayley Green and Cradley South,Belle Vale,borders
Hayley Green and Cradley South,Halesowen South,borders
Hayley Green and Cradley South,Cradley and Wollescote,borders
Healey,Smallbridge and Firgrove,borders
Healey,Central Rochdale,borders
Healey,Spotland and Falinge,borders
Healey,Wardle and West Littleborough,borders
West Middleton,North Middleton,borders
West Middleton,Holyrood,borders
West Middleton,Hopwood Hall,borders
West Middleton,South Middleton,borders
West Middleton,Unsworth,borders
Southwick,Castle Eden,borders
Southwick,Millfield,borders
Southwick,Hendon,borders
Southwick,St. Peter's,borders
Southwick,Cleadon and East Boldon,borders
Southwick,Redhill,borders
Southwick,Pallion,borders
Southwick,Fulwell,borders
Yew Tree,Prescot,borders
Yew Tree,Stockbridge,borders
Yew Tree,Croxteth,borders
Yew Tree,Knotty Ash,borders
Yew Tree,West Derby,borders
Yew Tree,Page Moss,borders
Speke-Garston,Halewood,borders
Speke-Garston,Allerton and Hunts Cross,borders
Speke-Garston,Eastham,borders
Speke-Garston,Cressington,borders
Hebburn South,Pelaw and Heworth,borders
Hebburn South,Hebburn North,borders
Hebburn South,Fellgate and Hedworth,borders
Hebburn South,Monkton,borders
Hebburn South,Wardley and Leam Lane,borders
Aston,Ladywood,borders
Aston,Perry Barr,borders
Aston,Lozells and East Handsworth,borders
Aston,Soho,borders
Aston,Nechells,borders
Mexborough,Sprotbrough and Cusworth,borders
Mexborough,Conisbrough Parks,borders
Mexborough,Wath,borders
Mexborough,Swinton,borders
Crofton Ryhill and Walton,Normanton West Yorkshire,borders
Crofton Ryhill and Walton,Featherstone,borders
Crofton Ryhill and Walton,Hemsworth,borders
Crofton Ryhill and Walton,Ackworth North Elmsall and Upton,borders
Crofton Ryhill and Walton,Wakefield South,borders
Crofton Ryhill and Walton,Darton East,borders
Crofton Ryhill and Walton,North East,borders
Crofton Ryhill and Walton,Royston,borders
Crofton Ryhill and Walton,Wakefield Rural,borders
Chorlton Park,Priory,borders
Chorlton Park,Sale Moor,borders
Chorlton Park,Didsbury West,borders
Chorlton Park,Fallowfield,borders
Chorlton Park,Chorlton,borders
Chorlton Park,Northenden,borders
Chorlton Park,Old Moat,borders
Chorlton Park,Whalley Range,borders
Sutton Four Oaks,Sutton Vesey,borders
Sutton Four Oaks,Streetly,borders
Sutton Four Oaks,Sutton Trinity,borders
Anston and Woodsetts,Wales South Yorkshire,borders
Anston and Woodsetts,Dinnington St. John's,borders
Anston and Woodsetts,Rother Vale,borders
Great Horton,Wibsey,borders
Great Horton,City,borders
Great Horton,Queensbury,borders
Great Horton,Royds,borders
Great Horton,Little Horton,borders
Great Horton,Clayton and Fairweather Green,borders
Rotherham East,Valley,borders
Rotherham East,Silverwood,borders
Rotherham East,Boston Castle,borders
Rotherham East,Rawmarsh,borders
Ettingshall,Bilston East,borders
Ettingshall,St. Peter's,borders
Ettingshall,Spring Vale,borders
Ettingshall,East Park,borders
Ettingshall,Bilston North,borders
Ettingshall,Blakenhall,borders
St. Mary's,Broadheath,borders
St. Mary's,Priory,borders
St. Mary's,Ashton upon Mersey,borders
St. Mary's,Brooklands,borders
St. Mary's,Bucklow-St. Martins,borders
Kingstanding,Sutton Vesey,borders
Kingstanding,Erdington,borders
Kingstanding,Oscott,borders
Kingstanding,Stockland Green,borders
Pontefract South,Featherstone,borders
Pontefract South,Ackworth North Elmsall and Upton,borders
Pontefract South,Pontefract North,borders
Pontefract South,Knottingley,borders
Smithills,Astley Village,borders
Smithills,Horwich,borders
Smithills,Heaton and Lostock,borders
Smithills,Halliwell,borders
Smithills,Crompton,borders
Blaydon,Lemington,borders
Blaydon,Whickham North,borders
Blaydon,Ryton Crookhill and Stella,borders
Blaydon,Crawcrook and Greenside,borders
Blaydon,Winlaton and High Spen,borders
Blaydon,Whickham South and Sunniside,borders
Blaydon,Dunston and Teams,borders
Blaydon,Benwell and Scotswood,borders
West Park,Eccleston St Helens,borders
West Park,Windle St Helens,borders
West Park,Town Centre,borders
West Park,Thatto Heath,borders
Bilston East,Coseley East,borders
Bilston East,Ettingshall,borders
Bilston East,Darlaston South,borders
Bilston East,Princes End,borders
Bilston East,Willenhall South,borders
Bilston East,Spring Vale,borders
Bilston East,Bilston North,borders
Denton North East,Denton South,borders
Denton North East,Denton West,borders
Denton North East,Dukinfield,borders
Denton North East,Audenshaw,borders
Denton North East,Hyde Newton,borders
Denton North East,Hyde Godley,borders
Cambridge,Meols,borders
Cambridge,Duke's,borders
Cambridge,Norwood,borders
Ackworth North Elmsall and Upton,Sprotbrough and Cusworth,borders
Ackworth North Elmsall and Upton,Featherstone,borders
Ackworth North Elmsall and Upton,Hemsworth,borders
Ackworth North Elmsall and Upton,Crofton Ryhill and Walton,borders
Ackworth North Elmsall and Upton,Pontefract South,borders
Ackworth North Elmsall and Upton,South Elmsall and South Kirkby,borders
Ackworth North Elmsall and Upton,Norton & Askern,borders
Westgate,Bridges,borders
Westgate,South Jesmond,borders
Westgate,Wingrove,borders
Westgate,Dunston and Teams,borders
Westgate,Elswick,borders
Westgate,Ouseburn,borders
Boldon Colliery,Castle Eden,borders
Boldon Colliery,Bede,borders
Boldon Colliery,Cleadon and East Boldon,borders
Boldon Colliery,Redhill,borders
Boldon Colliery,Fellgate and Hedworth,borders
Boldon Colliery,Washington North,borders
Boldon Colliery,Biddick and All Saints,borders
Graiseley,Park,borders
Graiseley,Penn,borders
Graiseley,Merry Hill,borders
Graiseley,St. Peter's,borders
